Giay thu	Buoc N	Flow N (L/phut)	Buoc P	Flow P (L/phut)	Buoc K	Flow K (L/phut)
1	226	0	141	0.11	150	0
2	453	0	283	0.183	300	0.267
3	680	0	425	0.122	450	0.182
4	906	0	566	0.317	600	0.267
5	1133	0.269	708	0.463	750	0.315
6	1360	0.115	850	0.487	900	0.364
7	1586	0.128	991	0.499	1050	0.388
8	1813	0.128	1133	0.524	1200	0.424
9	2040	0.141	1275	0.536	1350	0.436
10	2266	0.179	1416	0.572	1500	0.448
11	2493	0.294	1558	0.548	1650	0.448
12	2720	0.345	1700	0.585	1800	0.473
13	2946	0.371	1841	0.597	1950	0.497
15	3400	0.422	2125	0.585	2250	0.497
16	3626	0.435	2266	0.597	2400	0.509
17	3853	0.46	2408	0.609	2550	0.497
18	4080	0.486	2550	0.597	2700	0.509
19	4306	0.486	2691	0.609	2850	0.509
20	4533	0.486	2833	0.621	3000	0.509
21	4760	0.499	2975	0.609	3150	0.521
22	4986	0.499	3116	0.633	3300	0.509
23	5213	0.512	3258	0.609	3450	0.509
24	5440	0.499	3400	0.609	3600	0.521
25	5666	0.499	3541	0.621	3750	0.521
26	5893	0.486	3683	0.609	3900	0.521
27	6120	0.499	3825	0.609	4050	0.521
28	6346	0.512	3966	0.621	4200	0.521
29	6573	0.524	4108	0.621	4350	0.521
30	6800	0.512	4250	0.609	4500	0.509
31	7026	0.524	4391	0.609	4650	0.533
32	7253	0.524	4533	0.609	4800	0.509
33	7480	0.499	4675	0.621	4950	0.509
34	7706	0.55	4816	0.621	5100	0.497
35	7933	0.524	4958	0.621	5250	0.509
36	8160	0.537	5100	0.633	5400	0.497
37	8386	0.524	5241	0.621	5550	0.497
38	8613	0.524	5383	0.609	5700	0.497
39	8840	0.512	5525	0.609	5850	0.497
40	9066	0.537	5666	0.609	6000	0.497
41	9293	0.499	5808	0.597	6150	0.509
42	9520	0.499	5950	0.609	6300	0.509
43	9746	0.499	6091	0.621	6450	0.509
44	9973	0.524	6233	0.621	6600	0.497
45	10200	0.537	6375	0.621	6750	0.497
46	10426	0.512	6516	0.621	6900	0.497
47	10653	0.512	6658	0.621	7050	0.509
48	10880	0.524	6800	0.609	7200	0.497
49	11106	0.499	6941	0.621	7350	0.497
50	11333	0.512	7083	0.609	7500	0.497
51	11560	0.537	7225	0.609	7650	0.497
52	11786	0.473	7366	0.597	7800	0.485
53	12013	0.512	7508	0.609	7950	0.497
54	12240	0.512	7650	0.621	8100	0.497
55	12466	0.486	7791	0.597	8250	0.497
56	12693	0.499	7933	0.609	8400	0.497
57	12920	0.524	8075	0.609	8550	0.497
58	13146	0.55	8216	0.609	8700	0.497
59	13373	0.55	8358	0.609	8850	0.509
60	13600	0.563	8500	0.609	9000	0.497
